Time,Throttle,RPM,Thrust,Fuel
0,22.58,4329,3.14,503.17
0.09,22.58,4352,3.18,503.26
0.17,22.58,4329,3.21,504.15
0.26,22.58,4349,3.2,503.73
0.35,22.58,4379,3.19,504.75
0.44,22.58,4379,3.21,505.1
0.53,22.58,4372,3.23,503.75
0.61,22.58,4301,3.19,503.2
0.7,22.58,4298,3.17,503.66
0.79,22.58,4250,3.14,504.85
0.88,22.58,4349,3.12,503.58
0.97,22.58,4326,3.17,503.58
1.05,22.58,4379,3.19,503.03
1.14,22.58,4393,3.24,504.1
1.23,22.58,4385,3.26,503.36
1.32,22.58,4337,3.25,502.85
1.4,22.58,4360,3.22,504.81
1.49,22.58,4373,3.23,504.71
1.58,22.58,4405,3.25,504.97
1.67,22.58,4369,3.26,504.71
1.75,22.58,4390,3.24,505.7
1.84,22.58,4405,3.23,506.11
1.93,22.58,4390,3.23,505.79
2.02,22.58,4321,3.22,502.27
2.11,22.58,4334,3.19,502.67
2.19,22.58,4296,3.15,504.7
2.28,22.58,4369,3.13,504.21
2.37,22.58,4307,3.18,503.99
2.46,22.58,4267,3.14,504.23
2.55,22.58,4367,3.1,505.54
2.63,22.58,4402,3.17,504.12
2.72,22.58,4382,3.23,503.17
2.81,22.58,4405,3.22,503.15
2.9,22.58,4399,3.22,504.75
2.99,22.58,4393,3.22,504.24
3.07,22.58,4321,3.18,503.39
3.16,22.58,4330,3.13,504.71
3.25,22.58,4349,3.14,503.19
3.34,22.58,4368,3.19,504.81
3.43,22.58,4365,3.22,503.68
3.51,22.58,4399,3.19,504.04
3.6,22.58,4379,3.21,504.09
3.69,22.58,4364,3.23,503.94
3.78,22.58,4399,3.23,504.18
3.86,22.58,4376,3.22,502.73
3.95,22.58,4357,3.19,502.82
4.04,22.58,4419,3.2,503.15
4.13,22.58,4405,3.25,502.54
4.22,22.58,4355,3.24,502.04
4.3,22.58,4312,3.17,501.35
4.39,22.58,4304,3.1,501.55
4.48,22.58,4338,3.09,503.05
4.57,22.58,4343,3.13,504.69
4.66,22.58,4390,3.15,504.29
4.74,22.58,4324,3.16,502.91
4.83,22.58,4358,3.13,502.47
4.92,22.58,4349,3.15,504.11
5.01,22.58,4360,3.19,504.3
5.1,22.58,4413,3.22,503.83
5.18,22.58,4355,3.24,502.2
5.27,22.58,4416,3.25,500.87
5.36,22.58,4357,3.28,502.43
5.45,22.58,4367,3.24,503.17
5.54,22.58,4296,3.22,502.74
5.62,22.58,4357,3.19,503.66
5.71,22.58,4302,3.19,503.35
5.8,22.58,4355,3.19,502.93
5.89,22.58,4402,3.23,503.8
5.97,22.58,4326,3.24,502.72
6.06,22.58,4367,3.19,502.04
6.15,22.58,4367,3.22,501.62
6.24,22.58,4364,3.25,502.31
6.33,22.58,4390,3.24,503.03
6.41,22.58,4357,3.24,502.09
6.5,22.58,4337,3.22,503.17
6.59,22.58,4370,3.19,503.42
6.68,22.58,4364,3.2,502.42
6.77,22.58,4396,3.22,502.43
6.85,22.58,4399,3.22,501.37
6.94,22.58,4385,3.23,500.83
7.03,22.58,4370,3.22,502.09
7.12,22.58,4381,3.21,502.56
7.2,22.58,4318,3.19,502.82
7.29,22.58,4301,3.14,504.58
7.38,22.58,4372,3.12,503.71
7.47,22.58,4408,3.19,502.79
7.55,22.58,4428,3.22,501.24
7.64,22.58,4405,3.24,500.41
7.73,22.58,4390,3.21,502.19
